 ,ar,ca,cs,de,el,es_ES,fr,it,ja,pl,pt,pt_BR,ru,sv,tr,zh
MX Fluxbox,MX Fluxbox,MX Fluxbox ,MX Fluxbox,MX Fluxbox ,MX Fluxbox ,MX Fluxbox,MX Fluxbox ,MX Fluxbox,MX Fluxbox,MX Fluxbox,MX Fluxbox,MX Fluxbox,MX Fluxbox,MX Fluxbox,MX Fluxbox,MX Fluxbox
All apps,جميع التطبيقات,Totes les aplicacions,Všechny aplikace,Alle Apps,Όλες οι εφαρμογές,Todas las aplicaciones,Toutes les applications,Tutte le app.,全てのアプリ,Wszystkie aplikacje,Aplicações,Todos os Aplicativos,Все приложения,Alla program,Tüm uygulamalar,所有应用程序
Recent files,الملفات الحديثة,Fitxers recents,Poslední soubory,Neueste Dateien,Πρόσφατοι φάκελοι,Archivos recientes,Fichiers récents,File recenti,最近のファイル,Ostatnie pliki,Ficheiros recentes,Arquivos Recentes,Последние файлы,Senaste filer,Son dosyalar,最近文件
Update,تحديث,Recent files,Aktualizace,Update,Ανανέωση,Actualizar ,Mettre à jour,Aggiornare,アップデート,Aktualizuj,Actualizar,Actualizar,Обновление, Uppdateringslista,Güncelle,更新
Disable,تعطيل,Update,Zakázat,Deaktivieren,Απενεργοποίηση,Desactivar,Désactiver,Disattivare,ディスエーブル,Wyłączyć,Desactivar,Desactivar,Отключить,Inaktivera,Devre dışı,禁用
Browser,المتصفح,Navegador,Prohlížeč,Browser ,Περιήγηση ιστού,Navegadores Web,Navigateur ,Browser,ブラウザ,Przeglądarka,Navegador,Navegador de Internet,Браузер,Webbläsare,Tarayıcı,浏览器
Email,البريد الإلكتروني,Correu,E-mail,Email,Ηλεκτρονικό ταχυδρομείο,Email,Courrier électronique,Email,電子メール,Email,Correio,E-mail,Электронная почта,Email,E-posta,电子邮件
File manager,مدير الملفات,File manager,Správce souborů,Dateimanager,Διαχειρηστής αρχείων,Administrador de archivos,Gestionnaire de fichiers,Gestore dei file,ファイルマネージャ,Menedżer plików,Ficheiros,Gerenciador de Arquivos,Диспетчер файлов,Filhanterare,Dosya yöneticisi,文件管理器
Extras,إضافات,Extras,Extra,Extras,Extras,Extras,Extras,Extras,Extras,Extras,Terminal,Extras,Дополнительно,Extras,Ekstra,扩展
Weather,الطقس,Weather,Počasí,Wetter,Καιρός,Tiempo,Météo,Meteo,天気予報,Pogoda,Aparência,Tempo,Погода,Väder,Hava durumu,天气
Window options,خيارات النافذة,Window options,Možnosti okna,Fenster-Optionen,Επιλογές παραθύρου,Opciones de ventana,Options de fenêtre,Opzioni della finestra,ウィンドウのオプション,Opcje okna,Conky,Opções de janela,Параметры окон,Alternativ för fönster,Pencere seçenekleri,窗口选项
Border,الحدود,Border,Ohraničení,Rand,Περίγραμμα,Borde,Bordures,Bordo,ウィンドウボーダー,Ramka,Docas,Rebordo,Граница,Kant,Kenar,边框
