"Fluxbox"," ""Fluxbox"""
"All apps"," ""所有应用"""
"Recent files"," ""最近文件"""
"Update list"," ""更新列表"""
"Browser"," ""浏览器"""
"Email"," ""邮件"""
"File manager"," ""文件管理器"""
"Help"," ""帮助"""
"Music"," ""音乐"""
"Run"," ""运行"""
"Terminal"," ""终端"""
"Appearance"," ""外观"""
"Conky"," ""Conky"""
"Docks"," ""程序坞"""
"Default"," ""默认"""
"Dockmaker"," ""造坞器"""
"Desktop icons"," ""桌面图标"""
"Monitors"," ""显示器"""
"Style"," ""样式"""
"Theme"," ""主题"""
"Toolbar"," ""工具栏"""
"Traditional"," ""传统"""
"Wallpaper"," ""壁纸"""
"Rotate"," ""旋转"""
"Separate"," ""独立"""
"Settings"," ""设置"""
"Backup"," ""备份"""
"Configure"," ""配置"""
"Apps"," ""应用"""
"Init"," ""初始程序"""
"Keys"," ""密钥"""
"Menus"," ""菜单"""
"Overlay"," ""覆盖"""
"Startup"," ""启动"""
"Styles"," ""样式"""
"Window"," ""窗口"""
"Display"," ""显示"""
"Keyboard"," ""键盘"""
"Select"," ""选择"""
"Out of sight"," ""视界外"""
"Kill dock"," ""杀死程序坞进程"""
"Kill a window"," ""杀死一个窗口进程"""
"Toggle conky"," ""切换 Conky"""
"Toggle iDesk"," ""切换 iDesk"""
"Toggle icons"," ""切换图标"""
"Toggle autohide dock"," ""切换自动隐藏程序坞"""
"Toggle autohide toolbar"," ""切换自动隐藏工具栏"""
"Toggle monitors"," ""切换显示器"""
"Disable default dock"," ""禁用默认程序坞"""
"Leave"," ""离开"""
"Refresh"," ""刷新"""
"Suspend"," ""挂起"""
"Logout"," ""注销"""
"Reboot"," ""重启"""
"Shutdown"," ""关机"""
