"Fluxbox","""Fluxbox"""
"All apps","""Tüm uygulamalar"""
"Recent files","""Son Kullanılan Dosyalar"""
"Update list","""Güncelleme listesi"""
"Browser","""Tarayıcı"""
"Email","""Eposta"""
"File manager","""Dosya yöneticisi"""
"Help","""Yardım"""
"Music","""Müzik"""
"Run","""Çalıştır"""
"Terminal","""Uçbirim"""
"Appearance","""Görünüş"""
"Conky"," ""Conky"""
"Docks","""Paneller"""
"Default","""Öntanımlı"""
"Dockmaker","""Panel Yapıcı"""
"Desktop icons","""Masaüstü simgeleri"""
"Monitors","""Ekranlar"""
"Style","""Biçem"""
"Theme","""Tema"""
"Toolbar","""Araç çubuğu"""
"Traditional","""Geleneksel"""
"Wallpaper","""Duvar kağıdı"""
"Rotate","""Döndür"""
"Separate","""Ayırma"""
"Settings","""Ayarlar"""
"Backup","""Yedekleme"""
"Configure","""Yapılandır"""
"Apps","""Uygulamalar"""
"Init",""
"Keys",""
"Menus","""Menüler"""
"Overlay",""
"Startup","""Başlangıç"""
"Styles","""Biçemler"""
"Window","""Pencere"""
"Display","""Görüntü"""
"Keyboard","""Klavye"""
"Select","""Seç"""
"Out of sight","""Gözden uzak"""
"Kill dock","""Paneli yoket"""
"Kill a window",""
"Toggle conky",""
"Toggle iDesk",""
"Toggle icons","""Simgeleri değiştir"""
"Toggle autohide dock","""Paneli otomatik gizlemeyi açıp kapama"""
"Toggle autohide toolbar","""Araç çubuğunu otomatik gizlemeyi açıp kapama"""
"Toggle monitors",""
"Disable default dock","""Öntanımlı panel devre dışı"""
"Leave","""Ayrıl"""
"Refresh","""Yenile"""
"Suspend","""Askıya al"""
"Logout","""Oturumu Kapat"""
"Reboot","""Yeniden Başlat"""
"Shutdown","""Bilgisayarı Kapat"""
