 ,am,ar,bg,ca,cs,da,de,el,es,es_ES,fa,fi,fr,gl_ES,he_IL,hi,hr,id,is,it,ja,lt,nb,nl,pl,pt,pt_BR,ru,sk,sl,sq,sv,tr,uk,zh
MX Fluxbox,MX Fluxbox,,,MX Fluxbox ,MX Fluxbox ,MX Fluxbox,MX Fluxbox ,MX Fluxbox ,MX Fluxbox,MX Fluxbox,MX Fluxbox ,MX Fluxbox,MX Fluxbox ,MX Fluxbox,MX Fluxbox,फ्लक्सबॉक्स,Flubox,MX Fluxbox,MX Fluxbox,MX Fluxbox,MX Fluxbox,MX Fluxbox,MX Fluxbox,MX Fluxbox ,MX Fluxbox,MX Fluxbox,MX Fluxbox,MX Fluxbox,MX Fluxbox,MX Fluxbox,MX Fluxbox,MX Fluxbox,MX Fluxbox,MX Fluxbox ,
All apps,,,,Totes les aplicacions,Všechny aplikace,Alle programmer,Alle Apps,Όλες οι εφαρμογές,Todas las aplicaciones,Todas las aplicaciones,,Kaikki sovellukset,Toutes les applications,Aplicativos,כל היישומים,सभी अनुप्रयोग,,Semua Aplikasi,,Tutte le app.,全てのアプリ,Visos programos,Alle programmer,Alle apps,Wszystkie aplikacje,Aplicações,Todos os Aplicativos,Все приложения,Všetky aplikácie,Vsi programi,Krejt aplikacionet,Alla program,Tüm uygulamalar,Всі програми,所有程序
Recent files,,,,Fitxers recents,,,Neueste Dateien,Πρόσφατοι φάκελοι,Archivos recientes,Archivos recientes,,Viimeaikaiset tiedostot,Fichiers récents,Ficheiros recentes,,हालिया फाइलें,Nedavne datoteke,,,File recenti,最近のファイル,,Nylige filer,Recente bestanden,Ostatnie pliki,Ficheiros recentes,Arquivos Recentes,Недавние файлы,,Nedavne datoteke,Kartela së fundi,Senaste filer,En Son Dosyalar,,最近文件
Update,,,,,,,Update,Ανανέωση,Actualizar,Actualizar ,,,Mettre à jour,,,,,,,Aggiornare,アップデート,,Oppdater,Opwaarderen,Aktualizuj,Actualizar,Actualizar,,,Posodobitev seznama,Përditësoje listën, Uppdateringslista,,,更新
Disable,,,Деактивирайте,,Zakázat,Deaktiver,Deaktivieren,Απενεργοποίηση,Desactivar,Desactivar,,Disable,Désactiver,,,,,Nonaktifkan,,Disattivare,ディスエーブル,,Deaktiver,Uitschakelen,Wyłączyć,Desactivar,,Отключить,,,,Inaktivera,Devre dışı,,禁用
Browser,መቃኛ,متصفح,Интернет браузър,Navegador,Prohlížeč,Browser,Browser ,Περιήγηση ιστού,Navegador,Navegadores Web,وب بروزر ,Nettiselaimella,Navigateur ,Navegador web,דפדפן,ब्राउज़र,Preglednik,Peramban,Vafri,Browser,ブラウザ,Naršyklė,Nettleser,Browser,Przeglądarka,Navegador,Navegador de Internet,Браузер,Prehliadač,Brskalnik,Shfletues,Webbläsare,Tarayıcı,Веб-переглядач,浏览器
Email,,,,Correu,,E-mail,Email,Ηλεκτρονικό ταχυδρομείο,Email,Email,,Sähköposti,Courrier électronique,Correo electrónico,,ईमेल,Email,Email,,Email,電子メール,El. paštas,E-post,Email,Email,Correio,E-mail,Электронная почта,Email,Pošta,Email,Email,Eposta,,邮件
File manager,,,,,,,Dateimanager,Διαχειρηστής αρχείων,Gestor de archivos,Administrador de archivos,,,Gestionnaire de fichiers,,,,,Pengelola Berkas,,Gestore dei file,ファイルマネージャ,,Filbehandler,Bestandsbeheerder,Menedżer plików,Ficheiros,Gerenciador de Arquivos,,,Upravljalnik datotek,Përgjegjës kartelash,Filhanterare,,,
Extras,Extras,Extras,Extras,Extras,Extras,Extras,Extras,Extras,Extras,Extras,Extras,Extras,Extras,Extras,Extras,Extras,Extras,Extras,Extras,Extras,Extras,Extras,Extras,Extras,Extras,Extras,Extras,Extras,Extras,Extras,Extras,Extras,Extras,Extras,Extras
Weather,,,Времето,,Počasí,Vejret,Wetter,Καιρός,Tiempo,Tiempo,,Sää,Météo,,,,,Cuaca,,Meteo,天気予報,Orai,Vær,Weer,Pogoda,Tempo,,Погода,,,,Väder,Hava Durumu,,天气
