en,de,es,fr,gr,in,it,nl,pl,pt,ru
Fluxbox,Fluxbox,Fluxbox,Fluxbox,Fluxbox,Fluxbox,Fluxbox,Fluxbox,Fluxbox,Fluxbox,Fluxbox
All apps,Alle Anwendungen,Todas las aplicaciones,Toutes les applications,Όλες οι εφαρμογές,Semua Aplikasi,Tutte le applicazioni,Wszystkie aplikacje,Wszystkie aplikacje,Todas as aplicações,Все приложения
Browser,Browser,Navegador,Navigateur,Περιήγηση,Peramban,Browser,Przeglądarka,Browser,Browser,Браузер
Email,E-Mail,Correo electrónico,Courriel,Ηλεκτρονική διεύθυνση,Email,Invia un'e-mail a,E-mail,Email,Email,Email
File manager ,Datei-Manager ,Gestor de archivos ,Gestionnaire de fichiers ,Διαχείριση αρχείων,Pengelola Berkas,File manager ,Menedżer plików,Menedżer plików ,Gestor de ficheiros ,Менеджер файлов 
Help ,Hilfe ,Ayuda ,Aide ,Βοήθεια,Bantuan,Aiuto ,Pomoc,Pomoc ,Ajuda ,Помощь 
Music,Musik,Música,Musique,Μουσική,Musik,Musica,Muzyka,Muzyka,Música,Музыка
Run ,Führen Sie  aus. ,Corre ,Courir ,Εκτέλεση,Jalankan,Esegui ,Uruchom,Biegnij ,Corre ,Запустить 
Terminal,Terminal,Terminal,Terminal,Τερματικό,Terminal,Terminale,Terminal,Terminal,Terminal,Терминал
Appearance,Siehe,Mira,Regardez,Εμφάνιση,Tampilan,Guarda,Wygląd,Spójrz na,Veja,Посмотреть
Conky,Conky,Conky,Conky,Conky,Conky,Conky,Conky,Conky,Conky,Конки
Docks,Docks,Muelles,Docks,Docks,Docks,Darsene,Doki,Doki,Docas,Доки
Default,Standardmäßig,Por defecto,Par défaut,Προκαθορισμένο,Setelan Bawaan,Predefinito,Domyślny,Domyślnie,Por defeito,По умолчанию
Dockmaker,Dockmaker,Dockmaker,Dockmaker,Dockmaker,DockMaker,Dockmaker,Dockmaker,Dockmaker,Dockmaker,Докмейкер
Desktop icons,Desktop-Symbole,Iconos de escritorio,Icônes de bureau,Εικονίδια επιφάνειας εργασίας,Ikon Desktop,Icone da tavolo,Ikony pulpitu,Ikony na pulpicie,Ícones do ambiente de trabalho,Иконки рабочего стола
Monitors,Überwacht,Monitores,Surveille,Έλεγχος,Layar,Monitor,Monitory,Monitory,Monitores,Мониторы
Style,Stil,Estilo,Style,Στυλ,Gaya,Stile,Styl,Styl,Estilo,Стиль
Theme,Thema,Tema,Thème,Θέμα,Tema,Tema,Motyw,Temat,Tema,Тема
Toolbar,Symbolleiste,Barra de herramientas,Barre d'outils,Γραμμή εργαλείων,Bilah Alat,Barra degli strumenti,Pasek narzędzi,Pasek narzędzi,Barra de ferramentas,Панель инструментов
Legacy,Vermächtnis,Legado,Héritage,Κληρονομιά,Legacy,Eredità,Starsza wersja,Dziedzictwo,Legado,Наследие
User last,Benutzer zuletzt,El último usuario,Dernier utilisateur,Προηγούμενο,Pemakai Terakhir,Ultimo utente,Ostatnie ustawienie użytkownika,Ostatni użytkownik,Último utilizador,Последний пользователь
Wallpaper,Bildschirmhintergrund,Fondo de pantalla,Fond d'écran,Ταπετσαρία,Wallpaper,Carta da parati,Tapeta,Tapeta,Wallpaper,Обои
Settings,Einstellungen,Ajustes,Paramètres,Ρυθμίσεις,Setelan,Impostazioni,Ustawienia,Ustawienia,Definições,Настройки
Configure,Konfigurieren Sie,Configurar,Configurer,Διαμόρφωση,Konfigurasi,Configurare,Konfiguracja,Konfiguracja,Configurar,Настройка
Apps,Anwendungen,Aplicaciones,Apps,Εφαρμογές,Aplikasi,Applicazioni,Aplikacje,Apps,Apps,Приложения
Init,Init,Init,Init,Init,Init,Init,Init,Init,Init,Ините
Keys,Schlüssel,Llaves,Clés,Keys,Tombol,Tasti,Skróty klawiszowe,Klucze,Chaves,Ключи
Menu,Menü,Menú,Menu,Μενού,Menu,Menu,Menu,Menu,Menu,Меню
Overlay,Überlagerung,Superposición,Superposition,Επικάλυμμα,Lembaran Atas,Sovrapposizione,Nakładka graficzna,Nakładka,Overlay,Наложение
